"Disease","Fiscal Year","Gender","Age Group","Population","Incidence","Prevalence","Mortality with Disease","Mortality without Disease","Hospitalization with Disease: Person Count","Hospitalization with Disease: Separation Count","Hospitalization with Disease: Days Stay","Hospitalization without Disease: Person Count","Hospitalization without Disease: Separation Count","Hospitalization without Disease: Days Stay","Physician Visit with Disease: Person Count","Physician Visit with Disease: Visit Count","Physician Visit without Disease: Person Count","Physician Visit without Disease: Visit Count","General Physician Visit with Disease: Person Count","General Physician Visit with Disease: Visit Count","General Physician Visit without Disease: Person Count","General Physician Visit without Disease: Visit Count","Specialist Visit with Disease: Person Count","Specialist Visit with Disease: Visit Count","Specialist Visit without Disease: Person Count","Specialist Visit without Disease: Visit Count"
Diabetes,2009,F,40 to 44,1165060,5030,45290,160,870,4200,6380,40990,46110,56480,234100,43000,598070,900980,7088780,41750,357840,857780,4358590,32800,240110,586480,2728880
Diabetes,2009,F,45 to 49,1317080,7560,69230,340,1650,6430,9890,72730,45200,57160,281100,66460,945240,1027620,8271470,64670,556730,977920,5020490,51920,388250,699760,3249440
Diabetes,2009,F,50 to 54,1233150,9870,92020,560,2350,8920,13660,107700,44220,56930,312080,88960,1300180,971820,8401560,86830,750880,922770,4939150,71620,548960,708170,3461060
Diabetes,2009,F,55 to 59,1074990,11560,115410,930,2900,11900,18350,154360,42360,55640,332040,112030,1662870,832360,7543850,109410,936500,791670,4335590,90740,726100,620300,3207330
Diabetes,2009,F,60 to 64,934960,11970,136630,1650,3710,15860,24510,219180,43790,58230,380190,133050,2059860,708550,6931670,129970,1132350,676910,3885840,109910,927180,545200,3045120
Diabetes,2009,F,65 to 69,697960,10070,126710,2100,4110,17560,27480,254740,40490,55190,398240,123610,2073390,518450,5747620,120960,1125540,498380,3165210,104780,947400,413950,2582030
Diabetes,2009,F,70 to 74,552310,8400,120480,2900,5100,19400,30620,307280,39610,54920,441430,117520,2127070,396270,4989100,115230,1158790,384230,2754970,100090,967950,320210,2233790
Diabetes,2009,F,75 to 79,479190,7020,115030,4270,7410,22340,35530,402430,43820,61840,598580,111650,2177560,336040,4844910,109410,1205110,326750,2713930,95330,972340,275680,2130600
Diabetes,2009,F,80 to 84,392060,5170,95770,5920,10960,22000,34620,436860,46020,65980,740760,92180,1903640,273160,4385190,90350,1118110,266110,2599740,77250,785470,221390,1785280
Diabetes,2009,F,85+,453620,5090,94830,11990,34520,26240,40370,564330,71670,101750,1400140,88700,1920920,314480,5570210,86700,1259950,306620,3742900,69190,660900,234310,1827070
Diabetes,2009,M,1 to 4,686740,190,460,0,200,170,250,980,29040,37040,131800,450,5740,594250,3872850,380,1930,525560,2441110,420,3810,341680,1431160
Diabetes,2009,M,5 to 9,840670,290,1830,0,90,290,390,1710,15010,18110,54600,1740,15540,648410,2836530,1400,5680,554190,1729280,1530,9780,347670,1106960
Diabetes,2009,M,10 to 14,922950,480,3810,0,90,560,790,3570,13020,15960,65990,3590,29950,650260,2610750,2860,10170,560350,1568010,3120,19770,334990,1042430
Diabetes,2009,M,15 to 19,1054940,500,5780,0,470,670,1070,6330,19560,24420,126890,5350,43610,694780,2898700,4370,17650,633850,1825800,4460,25950,326210,1072240
Diabetes,2009,M,20 to 24,1055080,610,7030,30,720,700,1150,7450,18380,22800,144140,6140,50330,624020,2800250,5520,27500,590810,1887290,4220,22830,266520,912190
Diabetes,2009,M,25 to 29,1063580,1170,9690,30,690,840,1380,9540,17330,21990,148590,8380,80440,613530,3006870,7740,44130,579130,2023150,5630,36310,275400,983060
Diabetes,2009,M,30 to 34,1027840,2170,15140,40,740,1250,2010,16720,17960,22790,137420,13480,142550,628160,3344130,12650,80820,590940,2228120,9130,61680,305030,1115450
Diabetes,2009,M,35 to 39,1079880,4040,27770,110,870,2100,3410,29400,20190,25820,145730,25240,274210,674470,3789360,24050,158760,634740,2489120,16860,115330,347650,1299570
Diabetes,2009,M,40 to 44,1166080,6960,50030,210,1380,3660,5740,44610,25200,32860,180790,45970,506870,739460,4485530,44120,301240,697280,2885890,31060,205470,403330,1598950
Diabetes,2009,M,45 to 49,1325670,10620,84180,470,2360,6770,10620,86200,34910,46310,287140,78250,902420,856910,5536220,75430,529140,807490,3459450,53950,373140,488990,2075900
Diabetes,2009,M,50 to 54,1229690,13640,118120,940,3530,10280,16350,133010,40770,55170,331420,111240,1319590,814390,5732800,107590,756400,768200,3448600,78890,562900,495400,2283400
Diabetes,2009,M,55 to 59,1056830,14810,147550,1720,4320,15330,24340,195960,43490,59240,380950,140320,1796040,704530,5471200,135880,989830,664930,3160180,103660,805820,457020,2310110
Diabetes,2009,M,60 to 64,913020,15120,176230,2670,5250,21340,33650,282100,46770,64950,420940,169500,2367660,604420,5313970,164360,1260320,572140,2939000,131250,1106790,421640,2374280
Diabetes,2009,M,65 to 69,667320,12440,161370,3700,5870,23680,37930,336000,42700,60430,429300,156540,2462570,437440,4533040,152160,1281450,416650,2428390,127540,1180830,327620,2104170
Diabetes,2009,M,70 to 74,499440,9060,139250,4450,6670,24510,40010,380950,39320,56720,443700,135420,2452810,321560,3994790,132230,1263100,308760,2119180,114660,1189370,254710,1875270
Diabetes,2009,M,75 to 79,400500,6970,118540,6110,8950,25600,42170,454020,40520,60330,552810,115280,2372570,255620,3825560,112740,1232970,246540,2025920,99920,1139390,211110,1799400
Diabetes,2009,M,80 to 84,276910,4340,81300,6860,10780,21170,34540,407090,35830,54050,561290,78550,1769350,177900,3078190,76880,967670,172600,1704850,68130,801610,148560,1373190
Diabetes,2009,M,85+,222040,3010,54690,8330,18920,17410,27880,364090,38440,57570,714500,51470,1248900,141790,2797380,50370,746030,137960,1708500,43240,502810,114760,1088800
Diabetes,2010,F,1 to 4,664100,150,350,0,160,140,210,890,21920,27790,109410,340,4040,555540,3285310,300,1440,491570,2143580,310,2590,293980,1141190
Diabetes,2010,F,5 to 9,809830,310,1670,0,70,300,390,1290,11220,13770,40240,1580,13600,603660,2423710,1290,4930,520360,1558480,1400,8670,294440,864890
Diabetes,2010,F,10 to 14,861960,380,3370,0,60,480,720,3140,10420,13490,62120,3170,27460,586520,2207070,2450,8920,512280,1398900,2800,18530,275580,807740
Diabetes,2010,F,15 to 19,994600,500,5450,10,230,740,1280,6870,30130,38250,165220,5150,52060,755380,3877380,4500,23150,709370,2670520,4240,28890,348810,1205420
Diabetes,2010,F,20 to 24,1037500,800,7500,10,290,1140,1890,10750,60920,73510,223780,6980,84550,810090,5329760,6610,45880,779910,3715630,5190,38590,407020,1611760
Diabetes,2010,F,25 to 29,1067090,1510,11920,20,310,1980,3090,16940,109370,126990,359170,10990,157030,841610,6770650,10500,84350,804210,4294750,8360,72560,494750,2473690
Diabetes,2010,F,30 to 34,1075900,2390,19610,40,370,3260,4820,22920,125810,143500,403890,18260,273780,851620,7526850,17560,147320,809570,4435280,14050,126350,544550,3089570
Diabetes,2010,F,35 to 39,1089080,3300,31060,70,490,3750,5470,31210,80270,93250,293770,29080,405440,844350,6982630,28090,232270,803900,4163980,21900,173050,534880,2816890
Diabetes,2010,F,40 to 44,1157120,4630,46290,140,840,4310,6550,46720,45490,55270,223960,43740,591900,884770,6878960,42480,352890,841400,4195340,33030,238700,575530,2682010
Diabetes,2010,F,45 to 49,1307730,6900,70840,310,1520,6540,9950,72590,43710,55320,281190,67740,940090,1009100,8001970,65920,555030,959330,4828600,52510,384580,687790,3171730
Diabetes,2010,F,50 to 54,1261160,9150,95910,610,2360,9170,14080,102990,44320,57330,308920,92600,1325050,985980,8420910,90210,764510,935640,4916930,73990,560180,718180,3502170
Diabetes,2010,F,55 to 59,1110180,10670,120760,1010,2940,12370,18990,156200,42980,56560,341960,117090,1698250,854100,7634590,114350,958290,812040,4360520,94600,739500,636310,3272510
Diabetes,2010,F,60 to 64,976360,11320,145330,1660,3730,16690,25880,233100,45240,60060,403490,141320,2136260,734560,7076220,138130,1176310,701370,3941660,116540,959370,565300,3133720
Diabetes,2010,F,65 to 69,726280,9500,134600,2250,4310,18490,29130,276330,41620,56370,412510,131170,2148380,536010,5810510,128310,1160580,514590,3159630,110950,987220,428630,2650210
Diabetes,2010,F,70 to 74,568070,7650,126600,3050,5080,20290,31880,328670,40420,56150,438470,123380,2177200,404090,4999520,120960,1182720,391580,2723930,104920,994060,328270,2274840
Diabetes,2010,F,75 to 79,480780,6320,118400,4530,7240,23040,36870,420680,43580,61650,585970,114740,2202240,333600,4722490,112450,1215800,324210,2613350,98010,986170,274590,2108620
Diabetes,2010,F,80 to 84,397460,4740,100190,6130,10870,22990,36400,454590,46640,66910,742660,96340,1955360,273210,4324690,94500,1145930,266000,2529580,80860,809230,222250,1794710
Diabetes,2010,F,85+,474360,4910,103440,13420,36240,28940,44690,646040,75660,108200,1478850,96350,2063010,323150,5716050,94220,1348030,315090,3808640,75650,714810,242470,1907030
Diabetes,2010,M,1 to 4,698080,170,440,0,220,180,260,960,28310,36250,126840,430,5530,594800,3806410,360,1700,527380,2404150,410,3830,341420,1401650
Diabetes,2010,M,5 to 9,848970,300,1820,0,80,300,390,1540,14420,17720,54440,1720,15100,645210,2769420,1370,5280,548900,1663940,1510,9820,348960,1105090
Diabetes,2010,M,10 to 14,904530,500,3810,0,90,510,660,2610,12520,15580,63790,3580,28470,623170,2442060,2760,9050,530580,1427680,3150,19400,326470,1014000
Diabetes,2010,M,15 to 19,1045930,470,5920,10,450,640,970,4860,19210,24070,127280,5420,41740,675330,2789110,4430,16690,612000,1719740,4450,25040,322470,1068500
Diabetes,2010,M,20 to 24,1076210,550,7220,20,720,640,1010,6180,18150,22670,140700,6150,48110,619180,2800820,5520,26410,584440,1867620,4110,21680,268090,932220
Diabetes,2010,M,25 to 29,1080650,1050,10040,40,670,900,1590,11470,17200,22120,146080,8640,82420,609310,3037330,7950,45170,573960,2033510,5660,37220,275150,1003180
Diabetes,2010,M,30 to 34,1046170,1980,15320,70,690,1170,1840,14210,17860,22830,140300,13650,135730,629720,3392780,12790,77940,591870,2257550,9120,57760,306500,1134510
Diabetes,2010,M,35 to 39,1073810,3650,27970,100,860,2020,3160,25310,19740,25140,144250,25110,266110,662240,3733230,23890,156190,622650,2442280,16380,109860,342690,1290230
Diabetes,2010,M,40 to 44,1155720,6470,50710,220,1270,3670,5830,41820,24210,31530,177620,46420,502190,722540,4358190,44580,299740,680450,2793160,31040,202270,395200,1564090
Diabetes,2010,M,45 to 49,1318780,10220,86930,490,2310,6610,10350,82990,33690,44760,260250,80430,899640,841790,5415670,77510,528940,792390,3361370,54840,370410,482880,2053220
Diabetes,2010,M,50 to 54,1259690,12830,122900,920,3410,10540,16370,125680,40950,55140,357620,115480,1348100,828630,5783800,111660,776130,781150,3459920,81330,571540,506130,2322580
Diabetes,2010,M,55 to 59,1091540,14190,154660,1700,4430,15720,24810,202310,44430,60660,377820,146830,1833150,722040,5561710,142270,1015530,681130,3192190,108020,816960,470560,2368440
Diabetes,2010,M,60 to 64,952240,14510,187110,2850,5500,22260,35060,299050,48360,67200,435020,179600,2448900,624920,5446790,174220,1306140,591480,2987400,139040,1142150,436860,2458270
Diabetes,2010,M,65 to 69,696420,11550,171250,3710,5950,24660,39620,343990,43960,62140,453960,165900,2545220,452640,4612710,161260,1324120,430310,2439720,135130,1220560,340610,2172190
Diabetes,2010,M,70 to 74,515340,8520,147300,4740,6570,25530,41140,389890,39990,58060,454710,143030,2510680,327300,3987950,139590,1295510,314140,2080300,120960,1214760,259800,1907060
Diabetes,2010,M,75 to 79,405090,6350,123680,6190,8510,26480,43320,456810,39660,58880,546180,120080,2411840,254340,3728230,117410,1248620,245220,1954160,104160,1162830,210520,1773440
Diabetes,2010,M,80 to 84,287820,4160,87490,7060,10780,22710,37330,440170,36480,55220,572010,84450,1869880,181530,3115760,82700,1015960,176090,1696790,73510,853750,152320,1418710
Diabetes,2010,M,85+,236260,2830,60480,9250,19730,19190,30700,397170,40530,61360,761440,56630,1357340,147490,2923600,55410,808870,143480,1766730,47830,548410,120360,1156660
Hypertension,1999,F,20 to 24,913070,1570,4200,10,300,610,1010,5920,77920,99480,328890,4070,54440,778530,5723840,4000,33270,751950,4117590,2670,21150,409310,1603330
Hypertension,1999,F,25 to 29,947240,2560,10900,20,320,1810,2740,14770,118170,144130,470760,10500,146300,802720,6832130,10310,89620,770520,4560620,7030,56610,475700,2268850
Hypertension,1999,F,30 to 34,1058660,4530,19460,40,410,2960,4410,22950,126350,151390,517450,18830,262150,885990,7771070,18500,164680,845930,4969810,13090,97330,547130,2798870
Hypertension,1999,F,35 to 39,1250620,8700,39010,80,790,4480,6880,40470,91750,112970,478430,37810,506050,1020970,8350390,37150,321790,973710,5364950,26030,184110,623130,2982820
Hypertension,1999,F,40 to 44,1202800,14100,67670,170,1210,6690,10180,61550,57520,74050,394360,65660,851170,951540,7591600,64580,553660,903250,4843070,46290,297100,602000,2746620
Hypertension,1999,F,45 to 49,1068500,20580,108250,320,1470,10340,15560,103830,46170,60100,362540,105430,1381930,814020,6826760,103580,884160,768990,4223690,77220,497530,548170,2601460
Hypertension,1999,F,50 to 54,940540,27120,162410,600,1960,15630,23040,157010,40230,53520,334410,158850,2110350,676740,6162990,155970,1324640,636790,3652820,122320,785300,494840,2509100
Hypertension,1999,F,55 to 59,719670,25670,178890,1040,2150,18660,28240,199270,31270,42380,299760,175110,2367380,471940,4458830,171680,1444680,442610,2578210,137240,922330,353840,1879590
Hypertension,1999,F,60 to 64,594440,26190,193420,1630,2500,23100,35350,271500,26740,37460,283400,189780,2674780,348780,3473100,185900,1609180,326570,1981890,150220,1065230,266510,1490130
Hypertension,1999,F,65 to 69,556600,27620,224710,3030,3240,32040,50230,430410,26970,38260,317140,220900,3353350,290210,3150570,216390,1979090,271010,1772240,178010,1373990,225970,1377550
Hypertension,1999,F,70 to 74,514330,26840,243560,4970,4490,41520,65660,616070,27730,40160,370910,239690,3907870,238220,2836920,234600,2295210,222310,1604080,194400,1612400,186420,1232450
Hypertension,1999,F,75 to 79,448370,23930,238040,7640,6040,49740,79420,838490,27060,39560,445560,234190,4149700,185880,2492220,229260,2477690,173320,1457820,191690,1671750,146370,1034150
Hypertension,1999,F,80 to 84,298460,15480,166050,8810,6900,42180,67640,802570,21570,31410,393290,163050,3034810,117310,1715350,159540,1904830,109720,1096630,131540,1129750,89400,618610
Hypertension,1999,F,85+,294630,13820,151260,16570,18950,46260,72310,994670,27420,38890,595610,147360,2892410,123960,2058040,144110,1990970,117270,1530780,112070,901240,81890,526990
Hypertension,1999,M,20 to 24,937610,1470,4010,10,790,370,610,5520,22570,28780,179670,3610,38130,608400,2731760,3470,20340,578200,1934070,2140,17760,252960,796340
Hypertension,1999,M,25 to 29,952890,2990,11010,20,740,770,1330,8980,21990,28390,166530,9750,96840,599460,2893090,9430,58210,568890,2018570,5660,38580,265100,873110
Hypertension,1999,M,30 to 34,1053050,5390,22030,50,950,1550,2530,16140,26520,34800,204190,20110,204370,686600,3687580,19550,129390,650030,2523740,12050,74920,330450,1162430
Hypertension,1999,M,35 to 39,1254310,9680,43890,110,1410,3220,5110,34200,34500,45540,288640,40450,423680,827700,4786960,39400,272690,782360,3211740,24680,150890,419150,1573690
Hypertension,1999,M,40 to 44,1197910,15160,72070,290,1830,5790,9430,60070,36150,48240,300140,67440,718480,782610,4775980,65840,459010,737930,3133920,42160,259260,414900,1640860
Hypertension,1999,M,45 to 49,1060470,19840,107210,520,2320,9600,15100,99980,35420,48470,320590,100980,1095210,676710,4403840,98440,689120,634670,2789220,64520,405860,380330,1613540
Hypertension,1999,M,50 to 54,941360,25280,149590,950,2920,15230,24230,160600,35810,49780,345060,142550,1622350,585570,4120280,138770,995130,547360,2502060,95600,626830,351930,1617350
Hypertension,1999,M,55 to 59,716210,24140,159270,1600,3480,19610,31480,222850,32500,46250,319420,153280,1904990,429390,3365460,149090,1126530,399740,1960640,108550,778220,279220,1404090
Hypertension,1999,M,60 to 64,572650,23460,164520,2440,4360,24310,39120,300210,31710,45930,339190,159750,2198630,328680,2950170,155280,1264890,304970,1659870,118970,933410,228740,1289850
Hypertension,1999,M,65 to 69,517380,24320,183060,4250,5950,32540,53540,451210,34630,51960,426600,179180,2774070,280620,2934900,174400,1560910,260800,1605150,140220,1212750,207180,1329250
Hypertension,1999,M,70 to 74,431760,21310,174950,6450,7440,38100,64250,580220,34260,52650,462470,171870,3030780,222820,2714320,167530,1674060,207310,1481490,140010,1356380,171980,1232350
Hypertension,1999,M,75 to 79,321030,16620,143050,8210,8500,37790,64500,635710,30660,47550,491150,140690,2769390,158010,2254140,137180,1539610,147870,1263000,117740,1229540,125730,990910
Hypertension,1999,M,80 to 84,180630,9130,81770,7080,7890,25600,43830,465210,21540,33810,400030,80420,1679910,88640,1404770,78620,987480,83420,834390,67210,692210,70290,570220
Hypertension,1999,M,85+,131070,5950,53900,8190,11600,19830,33230,406590,20260,30870,410100,52730,1145980,67450,1156720,51570,727570,64040,771890,42510,418200,49880,384680
Hypertension,2000,F,20 to 24,923520,1510,4220,10,290,560,940,6250,74380,94280,311480,4110,55920,785530,5697120,4020,33620,759730,4105270,2700,22270,408490,1588910
Hypertension,2000,F,25 to 29,941100,2540,11970,20,310,1910,2870,14850,111940,135920,435080,11500,155540,795210,6689930,11290,96100,763650,4471230,7670,59370,468120,2216010
Hypertension,2000,F,30 to 34,1045940,4280,21260,40,420,3100,4630,24900,120510,143640,489100,20520,281080,871140,7606560,20140,175000,833220,4876220,14150,105850,535960,2727550
Hypertension,2000,F,35 to 39,1237520,8680,42720,70,740,4730,7040,40010,89060,109050,454740,41280,538280,1005550,8186080,40580,347060,960650,5278290,28240,191010,611800,2904810
Hypertension,2000,F,40 to 44,1226940,14830,75190,170,1020,7150,10610,63030,56970,72640,390320,72790,923880,965620,7631330,71610,600400,918990,4905060,51230,323170,606220,2724080
Hypertension,2000,F,45 to 49,1101330,21820,120400,330,1470,11110,16510,108110,45530,59250,373220,117040,1505030,831000,6900420,115000,965120,787370,4292150,85310,539500,555770,2606210
Hypertension,2000,F,50 to 54,981570,28400,182630,680,2020,16850,24570,162160,39690,52820,336180,178400,2328100,694130,6228940,175210,1459210,654870,3707070,136660,868150,505030,2520370
Hypertension,2000,F,55 to 59,746570,26490,199830,1110,2060,20020,29860,216300,29730,40530,275500,195400,2594660,477870,4449100,191590,1584450,449990,2579390,152770,1009620,357410,1868520
Hypertension,2000,F,60 to 64,608870,26160,213430,1760,2330,24340,37400,295870,24900,34660,256950,209070,2910510,344840,3383750,205050,1748880,324520,1933680,165700,1160840,262250,1448710
Hypertension,2000,F,65 to 69,555160,26800,241050,3020,3030,33050,51230,436730,24200,34140,281850,236770,3545060,275020,2923880,232190,2090400,258860,1651690,190700,1453830,213050,1271210
Hypertension,2000,F,70 to 74,517570,26020,262400,5080,3990,43240,68620,659350,24420,35260,339320,258000,4159210,223860,2619260,252790,2439640,210780,1483420,209120,1718910,174840,1135020
Hypertension,2000,F,75 to 79,453750,22630,258650,8020,5320,52210,83820,906030,23960,34980,390140,254090,4475410,171690,2256350,248860,2670630,161410,1317960,207890,1804210,134900,937840
Hypertension,2000,F,80 to 84,313300,14970,187740,9550,6340,45670,73130,870120,19290,27950,358800,183840,3415580,110200,1592040,180080,2144870,103760,1014530,148020,1270540,83750,577200
Hypertension,2000,F,85+,306740,12840,173740,19470,17570,51540,79810,1115880,24050,34180,530240,168520,3287250,113180,1847710,164830,2279650,107670,1383040,126890,1006950,74170,464310
Hypertension,2000,M,20 to 24,950140,1610,4220,0,700,400,670,6890,22190,28220,182880,3820,40530,612960,2726130,3670,21370,583160,1927200,2270,19160,253350,797490
Hypertension,2000,M,25 to 29,947060,2870,12070,30,710,800,1370,10040,21190,27390,176990,10610,102180,591510,2841890,10270,61460,561350,1983770,6110,40650,261110,856630
Hypertension,2000,M,30 to 34,1040950,5510,24520,60,860,1610,2560,18430,24610,31930,198090,22140,218880,673780,3563790,21530,138920,638530,2453310,13150,79900,321230,1108840
Hypertension,2000,M,35 to 39,1245060,10180,48770,140,1290,3420,5260,36390,32740,42960,257300,44740,456820,816740,4680600,43610,294030,773200,3160300,27220,162640,412090,1518480
Hypertension,2000,M,40 to 44,1225920,16090,81020,270,1690,6370,10060,64530,35260,47200,294730,75460,780400,796150,4820460,73560,503380,751820,3184840,46990,276630,420190,1634020
Hypertension,2000,M,45 to 49,1092550,21030,120360,550,2220,10390,16310,114980,34710,47150,300830,113040,1202910,689860,4448110,110090,758790,648750,2838270,71920,443810,385250,1608490
Hypertension,2000,M,50 to 54,980440,27250,170040,1060,2960,16680,26080,183010,35920,49360,324300,161660,1801980,599910,4184790,157510,1104880,562780,2556390,107690,696580,359170,1627420
Hypertension,2000,M,55 to 59,744660,25630,180600,1660,3430,21310,33650,246830,31500,44490,308920,173400,2106680,436290,3363190,168680,1246100,407730,1969820,122260,859990,281810,1392380
Hypertension,2000,M,60 to 64,586890,24200,183640,2570,4140,25930,41370,320610,29700,42930,328110,178050,2405410,324890,2858570,173190,1378140,303190,1620130,132600,1026380,224070,1237340
Hypertension,2000,M,65 to 69,516890,24360,199140,4340,5340,34080,56040,465780,31110,46050,377410,194620,2961000,266690,2730140,189630,1665930,249290,1500480,152270,1294250,195810,1228830
Hypertension,2000,M,70 to 74,441420,21370,194520,6780,6810,40900,68470,623860,31270,47730,426060,190800,3312760,213580,2543280,186240,1829490,200320,1396270,155360,1482400,164000,1146460
Hypertension,2000,M,75 to 79,328060,16400,159350,8590,7740,40210,68060,677780,27600,42920,424890,156340,3033890,149210,2084620,152680,1692770,140730,1169100,130890,1340600,118320,914960
Hypertension,2000,M,80 to 84,191190,9360,95780,8120,7290,28600,48820,552780,19720,30760,356900,93960,1957970,84810,1330300,91910,1146440,80330,793550,78560,810960,67180,536540
Hypertension,2000,M,85+,136970,5950,63050,9540,10980,22420,37220,451860,18640,28400,407270,61400,1328620,63410,1081560,60060,845170,60450,721620,49170,483130,46960,359720
Hypertension,2001,F,20 to 24,935770,1580,4310,10,280,620,1040,6200,71180,89810,300710,4180,56580,788050,5569140,4100,33830,760990,4005190,2760,22740,403580,1560750
Hypertension,2001,F,25 to 29,939180,2620,12850,20,300,1940,2890,15570,110870,133170,429780,12260,161780,788290,6550220,12000,99470,756400,4344650,8190,62250,462130,2202690
Hypertension,2001,F,30 to 34,1039430,4420,23150,40,450,3400,4900,25300,121110,142710,484600,22210,297800,857580,7434830,21750,184470,819050,4716220,15190,113100,526750,2715170
Hypertension,2001,F,35 to 39,1213210,8370,45720,100,740,4850,7270,42030,85030,102870,425830,44010,561760,972710,7798320,43190,357320,928320,4996780,30010,204130,591270,2798450
Hypertension,2001,F,40 to 44,1248310,14510,81760,180,1080,7240,10690,66460,54500,69150,381350,78850,970640,970950,7545030,77470,627690,923390,4838820,54920,342590,608750,2703500
Hypertension,2001,F,45 to 49,1132250,21800,131410,360,1500,11320,16720,112480,42910,55530,343760,127350,1585030,842770,6843150,125110,1015130,797930,4250600,92230,569350,562640,2590300
Hypertension,2001,F,50 to 54,996060,27440,194750,720,1880,16710,24430,173430,36270,47830,309420,189810,2404720,692320,6042400,186300,1495820,652590,3594310,144830,908090,501320,2446320
Hypertension,2001,F,55 to 59,801060,27060,226320,1260,2100,21070,31430,232550,28930,39260,288160,220940,2852120,500500,4560050,216480,1732700,470670,2634970,172520,1118680,373660,1923850
Hypertension,2001,F,60 to 64,628860,25510,234020,1850,2250,25400,38450,307430,23520,32480,243360,228940,3102700,343260,3294430,224270,1853370,322810,1875660,181610,1248410,261220,1417550
Hypertension,2001,F,65 to 69,555160,25030,255570,3270,2690,33310,51530,450620,21650,30670,263070,250650,3679420,261330,2737860,245650,2160310,245810,1536850,202600,1518250,202860,1199900
Hypertension,2001,F,70 to 74,521500,23930,279620,5560,3730,44150,69460,659960,21750,31390,304020,274260,4363190,210840,2414320,268800,2552060,198230,1365440,223200,1810110,164910,1047940
Hypertension,2001,F,75 to 79,456590,20480,274640,8370,4890,53100,84600,916520,20870,30510,339550,269280,4682920,158840,2051720,263650,2784480,149320,1202110,221190,1897670,125170,849010
Hypertension,2001,F,80 to 84,329770,14110,210130,10710,5830,48960,77840,945310,17550,25430,352090,205400,3776350,103990,1480780,201140,2385900,98040,944870,165630,1390090,79360,535610
Hypertension,2001,F,85+,317960,11670,194460,21990,15860,55530,86560,1174320,21080,29760,442340,187790,3664690,103390,1672270,183680,2561800,98410,1254330,141060,1102050,67550,417740
Hypertension,2001,M,20 to 24,963500,1670,4360,20,770,360,630,6030,21260,27030,177740,3920,39020,606640,2646650,3770,20570,576110,1857120,2290,18430,252490,788000
Hypertension,2001,M,25 to 29,945370,3070,13290,10,750,840,1390,12850,19570,25330,167390,11540,108440,579260,2749620,11150,64400,549180,1908570,6560,44020,256260,839640
Hypertension,2001,M,30 to 34,1034190,5440,26620,60,850,1600,2580,17670,22740,29430,191210,23760,223550,656470,3410430,23070,142830,621170,2343260,13870,80600,313350,1065500
Hypertension,2001,M,35 to 39,1221470,9910,52750,130,1270,3440,5470,36740,29260,38430,257360,47840,470100,784170,4424620,46580,302380,741030,2979760,28730,167450,397760,1443090
Hypertension,2001,M,40 to 44,1249680,16020,89340,300,1700,6410,10110,67770,33190,44340,291690,82510,831510,796820,4756050,80330,534470,751930,3133320,50880,296660,421320,1621070
Hypertension,2001,M,45 to 49,1124820,21170,132150,600,2280,10640,16680,113380,32930,44510,293620,123260,1270170,696950,4425460,120050,802900,654720,2827830,77630,466680,389070,1596340
Hypertension,2001,M,50 to 54,993100,26430,183610,1100,2890,16950,26380,184640,33190,45820,308530,173780,1874870,593190,4056280,169150,1150080,555830,2483150,114860,724100,353790,1571970
Hypertension,2001,M,55 to 59,799020,26530,207280,1830,3560,23010,36080,257380,30990,43330,297920,198380,2322170,453860,3415530,192960,1376390,423780,2001910,139050,945070,291540,1412510
Hypertension,2001,M,60 to 64,607710,23940,204060,2930,3920,27710,43940,344240,27700,39470,308440,197300,2595910,323290,2757430,191880,1482280,301680,1566930,146670,1112730,222190,1189650
Hypertension,2001,M,65 to 69,517600,23060,213660,4550,4870,34850,56470,482950,27510,40630,323500,208470,3092210,253320,2517680,203130,1736420,236810,1389270,162770,1354460,185540,1127470
Hypertension,2001,M,70 to 74,450190,20910,213070,7210,6220,42170,70120,644120,27940,42300,371820,208720,3535850,203860,2353690,203590,1955950,191100,1292810,169850,1578870,156190,1060430
Hypertension,2001,M,75 to 79,334760,15450,174770,9320,6880,42390,71180,716280,24590,37630,378440,171100,3277860,140090,1911240,167180,1821680,132040,1072740,143250,1455460,111030,837900
Hypertension,2001,M,80 to 84,203070,9330,110260,9060,6770,31280,52480,585460,17880,27600,320260,107900,2221140,81640,1257920,105530,1298600,77390,755360,90450,922050,64870,502200
Hypertension,2001,M,85+,142450,5740,71870,10930,10200,25050,41220,510980,17110,25990,344150,69810,1514910,59430,1009480,68290,966160,56770,678100,56210,548430,44230,331200
Hypertension,2002,F,20 to 24,948460,1890,4620,10,280,560,940,5570,68720,86050,294020,4490,58540,792560,5542970,4410,37510,764990,3974490,2910,21030,403870,1565040
Hypertension,2002,F,25 to 29,944360,2900,13910,20,280,2070,3030,17890,107200,128500,412910,13290,178140,789180,6534090,13020,111180,756140,4301250,8860,66900,463500,2229750
Hypertension,2002,F,30 to 34,1032940,4840,25360,30,410,3560,5010,25700,118170,138890,470470,24270,327850,846500,7372470,23770,204290,808180,4637710,16630,123340,522630,2731070
Hypertension,2002,F,35 to 39,1178670,8710,48010,100,650,4880,7100,42070,81630,98190,405840,46090,585070,937490,7541260,45260,375180,894220,4797450,31400,209470,572680,2740850
Hypertension,2002,F,40 to 44,1264440,15050,87970,200,1060,7570,11070,73340,53370,67220,379810,84750,1042470,974470,7543380,83190,674140,926600,4817670,59220,367900,613510,2722500
